,area_m2,area_m2,area_m2,area_m2,area_m2,area_m2,area_m2,area_m2,peri_m,peri_m,peri_m,peri_m,peri_m,peri_m,peri_m,peri_m,shp_index,shp_index,shp_index,shp_index,shp_index,shp_index,shp_index,shp_index,fract,fract,fract,fract,fract,fract,fract,fract
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,925864.0,27921.817552216406,31478.51282957066,1.000459553968228,9321.088847079478,18793.974056026764,35458.078460523335,4158874.0494619664,925864.0,762.1313089614736,442.98974483940697,4.672388314281543,478.3958823918667,675.6355736727362,940.3872044775649,19193.761276707643,925864.0,1.4751920162762364,0.5460639856814976,1.016835694942826,1.2015720502096308,1.3186291742689935,1.5453436483316891,85.92716668570827,925864.0,1.3452035633188182,6.975162657320045,1.1975223386778076,1.2889163731790438,1.3186605143728976,1.36205166288764,6710.961833152497
2013,916361.0,28204.0329958749,31799.913785294586,1.0322986493168513,9349.891476432776,18940.853288072165,35869.25059499395,4158874.0494619664,916361.0,764.2652112782355,444.7853272780397,4.883490133316573,478.9041827632487,677.6549166288482,944.1684985334933,19193.761276707643,916361.0,1.4745357617789714,0.5422245041662798,1.016835694942826,1.201317868804095,1.3178428226117405,1.5438895359393732,43.39644820854569,916361.0,1.3378786877109052,0.1444811291092887,1.1976264104289964,1.2885388244066733,1.318288190662986,1.361881693315453,99.77724007094528
2014,912000.0,28398.2519108495,32153.689719375907,1.0384904920397204,9323.148064543011,18993.028293894684,36149.1026551769,4153500.8996592197,912000.0,766.3936765850988,449.68828476623685,5.3629471906808375,478.72722150158506,678.6899789756378,947.7185039562368,27391.928191676798,912000.0,1.4772941529092838,0.5508876387005367,1.0172954224826969,1.2014935681596606,1.3182145556210338,1.5454831654414132,37.113586103961936,912000.0,1.338508106817363,0.18409195205358903,1.2082843935326877,1.2883635032912601,1.3182698664411088,1.3621975374246906,127.42016519482016
2015,917618.0,28157.952597340976,32030.47378643379,1.0061316988173679,9066.73113635266,18707.812321934485,35851.4529147446,2690763.708925351,917618.0,763.6762424020665,452.35783500152365,4.686518635263459,474.9648925774744,675.416881185155,945.9495338257811,27391.929593454355,917618.0,1.4897538165524917,0.5851220008893684,1.0172954224826969,1.202488971254138,1.321070693417193,1.553517966316002,56.17698836334121,917618.0,1.3418598056504132,0.602617287183666,1.2082843935326877,1.288840258601655,1.319207903428945,1.3642399595769754,556.824689795579
2016,910238.0,29061.92975734633,33573.16144532963,0.001710089915567859,9142.330650776747,19057.56030699666,36890.569363629904,1556779.0305809414,910238.0,778.8163008489967,485.78159197332775,0.44019437438400005,478.2630751583571,682.9798238296626,962.1005206921094,40714.68885465868,910238.0,1.5044502093674679,0.6594139180718787,1.017282659423476,1.2033499627830138,1.3233750065379577,1.5613048320053224,66.55092648386791,910238.0,1.3438557773311048,1.7565143691699527,-398.6942637410469,1.2883137508378633,1.3189574006149174,1.3647300749468454,1130.3319507018437
2017,905057.0,28921.18400699937,33471.128757396444,0.00011328000368297092,8930.49028378029,18894.937398298873,36838.148681874576,1556779.026200919,905057.0,778.3412643083759,495.4326579623542,0.07750234887498333,474.79666751573336,681.4083394744241,962.9528780879596,40731.626332981825,905057.0,1.5162950723207513,0.6785621282414619,1.0245120559167447,1.2038960361549764,1.3256213831862609,1.5690756828637584,69.75052250999691,905057.0,1.3461407626114408,1.5536990513207352,-196.08188677563953,1.288542461244184,1.3196638122086164,1.3666341825281965,1372.628356172162
2018,912210.0,28320.9311640029,32336.133936109847,0.9255918480901277,8638.979611022532,18572.412476448182,36300.72741866867,1555844.0160021733,912210.0,775.0340187278944,497.3163407277699,4.104119180279854,471.26100077610937,678.564219580675,959.8322522787414,38463.815088914336,912210.0,1.541026882599026,0.7758116532265721,1.017565322510533,1.2046743889187337,1.3286603794985965,1.5801635188761463,51.13886044644391,912210.0,1.3564963167386683,7.332962677231995,-63.38108926178887,1.2890930060601091,1.3207434477181819,1.369222645573863,6988.563654661123
2019,902206.0,28641.5728250172,32844.466437412535,0.11046853522960295,8696.613656686755,18702.886623251543,36697.92025993134,1811730.7657651496,902206.0,778.3990977011559,499.3237871296004,1.6488129234156008,473.02699614124987,680.9486791391562,964.2818025887989,40669.36544726012,902206.0,1.544549196645761,0.798593393616358,1.017565118948129,1.204120474713509,1.3278115336490697,1.5783912888698137,66.37350360271368,902206.0,1.3499515729538958,0.5945672406459501,-18.25158202329424,1.2886738373903481,1.3202984530832662,1.368632988999028,411.6820108854396
2020,902590.0,28615.76080343121,32854.63082478065,0.14411946674477852,8591.7614225399,18632.313391996366,36712.68942343081,1556892.7049115866,902590.0,778.2245431557765,500.2403226564665,6.679104717581824,471.7918678445519,680.2986136023185,965.10700937079,40669.36544520442,902590.0,1.548593251059735,0.7935836613005445,1.0098619532068391,1.2044276174890958,1.328910902255602,1.582184963459326,41.36263296018728,902590.0,1.347456194866637,0.15687084055387274,-3.2062095460632487,1.2887660383558095,1.3206222710498758,1.3694983570326922,113.54049633648553
2021,899833.0,28691.37291698748,33058.50854290118,0.0668281756557606,8534.126380911353,18618.602110414904,36814.63240871922,1557686.3583758546,899833.0,779.343522699396,502.9115984653303,4.071169390102028,471.6246304756283,680.8685673050904,967.1136548577799,40669.36544520442,899833.0,1.5547827468057955,0.8118912748574934,1.0065146934142566,1.2046975540301477,1.329849065114251,1.5856045555917293,41.49468307671501,899833.0,1.3558495926088874,2.397292821747856,-1.5600636414366102,1.288733743864194,1.3207469212072838,1.3701728579093801,2150.9059844297167
